tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***67875,20161231,3,PARK ON PRIVATE PROPERTY,30,0606,,1750 LAWRENCE AVE W,,,ON
***64659,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0636,NR,32 GARNOCK AVE,,,QC
***74419,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0636,NR,155 CONNOLLY ST,,,ON
***24749,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0639,NR,160 THE ESPLANADE,,,ON
***71725,20161231,3,PARK ON PRIVATE PROPERTY,30,0639,AT,1005 LANSDOWNE AVE,,,ON
***87500,20161231,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0641,OPP,135 GEORGE ST S,,,ON
***78434,20161231,337,PARK - ON BOULEVARD,50,0642,W/S,ST CLAIR GDNS,N/O,ST CLAIR AVE W,ON
***87501,20161231,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0642,OPP,135 GEORGE ST S,,,ON
***74420,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0644,OPP,1 HIRONS ST,,,ON
***87502,20161231,8,STAND VEH.-PROHIBIT TIME/DAY,60,0644,NR,80 FRONT ST E,,,ON
***64660,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0645,NR,29 STRATHCONA AVE,,,ON
***85750,20161231,3,PARK ON PRIVATE PROPERTY,30,0646,AT,500 RICHMOND ST W,,,ON
***74421,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0647,NR,48 MULOCK AVE,,,ON
***16983,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0648,NR,176 THE ESPLANADE,,,ON
***71865,20161231,8,STAND VEH.-PROHIBIT TIME/DAY,60,0650,OPP,22 WESTERN BATTERY RD,,,ON
***87503,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0651,NR,227 VICTORIA ST,,,ON
***78435,20161231,337,PARK - ON BOULEVARD,50,0652,W/S,ST CLARENS AVE,S/O,LAPPIN AVE,ON
***64661,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0653,NR,273 WITHROW AVE,,,ON
***71866,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0653,OPP,80 WESTERN BATTERY RD,,,ON
***64662,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0655,NR,275 WITHROW AVE,,,ON
***29647,20161231,3,PARK ON PRIVATE PROPERTY,30,0656,AT,2266 QUEEN ST E,,,ON
***91905,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0656,NR,380 ASSINIBOINE RD,,,ON
***64663,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0657,NR,290 WITHROW AVE,,,ON
***91906,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0657,NR,360 ASSINIBOINE RD,,,ON
***64664,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0658,NR,278 WITHROW AVE,,,ON
***91907,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0700,NR,54 BOWSFIELD RD,,,ON
***91908,20161231,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,0701,NR,6 BOWSFIELD RD,,,ON
***37305,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0704,S/S,RIDELLE AVE,W/O,BATHURST ST,ON
***90754,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0704,NR,510 EUCLID AVE,,,ON
***74422,20161231,3,PARK ON PRIVATE PROPERTY,30,0705,AT,88 PALACE PIER CRT,,,ON
***79385,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0706,NR,7 TURNBERRY AVE,,,ON
***16984,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0706,NR,117 PEMBROKE ST,,,ON
***98443,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0707,NR,80 GOULD ST,,,ON
***49793,20161231,3,PARK ON PRIVATE PROPERTY,30,0709,AT,75 ST NICHOLAS ST,,,ON
***49794,20161231,3,PARK ON PRIVATE PROPERTY,30,0710,AT,75 ST NICHOLAS ST,,,ON
***71726,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0710,NR,690 BROCK AVE,,,ON
***29648,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0711,NR,38 BOULTON AVE,,,ON
***49795,20161231,3,PARK ON PRIVATE PROPERTY,30,0711,AT,75 ST NICHOLAS ST,,,ON
***78436,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0711,OPP,3 YARMOUTH RD,,,ON
***98444,20161231,134,PARK-SIGNED HWY-PUBLIC LANE,40,0712,E/S,O'KEEFE LANE,S/O,DUNDAS SQ,ON
***34669,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0713,OPP,19 BLACKBURN ST,,,ON
***49796,20161231,3,PARK ON PRIVATE PROPERTY,30,0713,AT,75 ST NICHOLAS ST,,,ON
