tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***34672,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0815,NR,1473 QUEEN ST E,,,ON
***60173,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0815,NR,450 SPADINA AVE,,,ON
***61121,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0815,W/S,ROLLING MILLS RD,S/O,FRONT ST E,ON
***87504,20161231,414,PARK VEH.-COMMERCIAL LOAD ZONE,40,0815,OPP,10 MARKET ST,,,ON
***90759,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0815,NR,359 EUCLID AVE,,,ON
***49985,20161231,3,PARK ON PRIVATE PROPERTY,30,0816,,15 SCADDING AVE,,,ON
***37310,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0816,NR,439 SPADINA RD,,,ON
***61122,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0816,W/S,ROLLING MILLS RD,S/O,FRONT ST E,ON
***78461,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0816,NR,124 SPADINA RD,,,ON
***37311,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0817,NR,448 SPADINA RD,,,ON
***61123,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0817,W/S,ROLLING MILLS RD,S/O,FRONT ST E,ON
***64672,20161231,8,STAND VEH.-PROHIBIT TIME/DAY,60,0817,N/S,ALDWYCH AVE,E/O,PAPE AVE,ON
***58100,20161231,312,PARKING MACH-NOT USED/NO FEE  ,30,0818,,351 KEELE ST,,,ON
***37312,20161231,406,PARK-VEH. W/O VALID ONT PLATE,40,0818,NR,448 SPADINA RD,,,ON
***61124,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0818,W/S,ROLLING MILLS RD,S/O,FRONT ST E,ON
***50821,20161231,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0819,NR,100 KING ST W,,,ON
***61125,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0819,W/S,ROLLING MILLS RD,S/O,FRONT ST E,ON
***71731,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0819,NR,2230 BLOOR ST W,,,ON
***76987,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0819,NR,1190 ST CLAIR AVE W,,,ON
